factsheet,topic,attribute,subattribute,#,value,,
,,reference,citation,21,"Mishra V., R. Kumar, H.L. Shah, L. Samaniego, S. Eisner, and T.Yang, ""Multimodel assessment of sensitivity and uncertainty of evapotranspiration and a proxy for available water resources under climate change"", Climatic Change (2017) 141: 451. https://doi.org/10.1007/s10584-016-1886-8",,
,,reference,citation,22,"Christian Folberth, Joshua Elliott, Christoph Müller, Juraj Balkovic, James Chryssanthacopoulos, Roberto C. Izaurralde, Curtis D. Jones, Nikolay Khabarov, Wenfeng Liu, Ashwan Reddy, Erwin Schmid, Rastislav Skalský, Hong Yang, Almut Arneth, Philippe Ciais, Delphine Deryng, Peter J. Lawrence, Stefan Olin, Thomas A. M. Pugh, Alex C. Ruane, and Xuhui Wang, ""Uncertainties in global crop model frameworks: effects of cultivar distribution, crop management and soil handling on crop yield estimates"", Biogeosciences Discussion, doi:10.5194/bg-2016-527, 2016",,
,,reference,citation,23,"Hannes Müller Schmied, Linda Adam, Stephanie Eisner, Gabriel Fink, Martina Flörke, Hyungjun Kim, Taikan Oki, Felix Theodor Portmann, Robert Reinecke, Claudia Riedel, Qi Song, Jing Zhang, and Petra Döll, ""Variations of global and continental water balance components as impacted by climate forcing uncertainty and human water use"", Hydrol. Earth Syst. Sci., 20, 2877-2898, 2016",,
,,reference,citation,24,"Vetter T., J. Reinhardt, M. Floerke, A. van Griensven, F. Hattermann, S. Huang, H. Koch, I. Pechlivanidis, S. Ploetner, O. SEidou, B. Su, R.W. Vervoort, V. Krysanova, ""Evaluation of sources of uncertainty in projected hydrological changes under climate change in 12 large-scale river basins, Climatic Change"", Climatic Change, DOI: 10.1007/s10584-016-1794-y, 2016",,
,,reference,citation,25,"Huang Sh., R. Kumar, M. Flörke, T. Yang, Y. Hundecha, Ph. Kraft,  Ch. Gao, A. Gelfan, S. Liersch, A. Lobanova, M. Strauch, F. van Ogtrop, J. Reinhardt, U. Haberlandt, V. Krysanova, ""Evaluation of an ensemble of regional hydrological models in 12 large-scale river basins worldwide"", Climatic Change, DOI: 10.1007/s10584-016-1841-8, 2016",,
,,reference,citation,26,"Pechlivanidis I., B. Arheimer, C. Donnelly, Y. Hundecha, S. Huang, V. Aich, L. Samaniego, S. Eisner, P. Shi, ""Analysis of hydrological extremes at different hydro-climatic regimes under present and future conditions"", Climatic Change, DOI: 10.1007/s10584-016-1723-0, 2016",,
,,reference,citation,27,"Gelfan A., D. Gustafsson, Y. Motovilov, B. Arheimer, A. Kalugin, I. Krylenko and A. Lavrenov, ""Climate change impact on the water regime of two great Arctic rivers: modeling and uncertainty issues"", Climatic Change, DOI: 10.1007/s10584-016-1710-5, 2016",,
,,reference,citation,28,"Gosling S. N., J. Zaherpour, N.J. Mount, F.F. Hattermann, R. Dankers, B. Arheimer, L. Breuer, J. Ding, I. Haddeland, R. Kumar, D. Kundu,  J. Liu, A. van Griensven, T.I.E. Veldkam, T. Vetter, X. Wang,  X. Zhang, ""A comparison of changes in river runoff from multiple global and catchment-scale hydrological models under global warming scenarios of 1°C, 2°C and 3°C"", Climatic Change, DOI 10.1007/s10584-016-1773-3, 2016",,
,,reference,citation,29,"Hattermann F.F., V. Krysanova, S. N. Gosling, R. Dankers, P. Daggupati, C. Donnelly, M. Flörke, S. Huang, Y. Motovilov, S. Buda, T. Yang, C. Müller, G. Leng, Q. Tang,  F. T. Portmann, S. Hagemann, D. Gerten, Y. Wada, Y. Masaki, T. Alemayehu, Y. Satoh,  L. Samaniego, ""Cross-scale intercomparison of climate change impacts simulated by regional and global hydrological models in eleven large river basins"", Climatic Change, DOI 10.1007/s10584-016-1829-4, 2016",,
,,reference,citation,30,"Wang X. T. Yang, M. Wortmann, P. Shi, F. Hattermann, A. Lobanova, V. Aich, ""Analysis of multi-dimensional hydrological alterations under climate change for four major river basins in different climate zones"", Climatic Change, doi:10.1007/s10584-016-1843-6, 2016",,
